Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   57.9689  -206.2530  1733.5203     0.9041     0.1435     0.4024    -0.4042     0.5926     0.6967    -0.1385    -0.7926     0.5938
   58.5144  -206.1338  1733.8098     0.8476     0.2068     0.4887     0.1798    -0.9784     0.1022     0.4993     0.0013    -0.8664
   58.6165  -206.1093  1733.8685     0.8508     0.1996     0.4862     0.4293    -0.7975    -0.4239     0.3032     0.5694    -0.7641
   58.7160  -206.0866  1733.9250     0.8547     0.1896     0.4833     0.2495    -0.9664    -0.0620     0.4552     0.1736    -0.8733
   58.8367  -206.0607  1733.9930     0.8584     0.1781     0.4811     0.3677    -0.8676    -0.3348     0.3577     0.4643    -0.8102
   58.9765  -206.0329  1734.0707     0.8639     0.1637     0.4763     0.3090    -0.9190    -0.2448     0.3977     0.3587    -0.8445
   59.1330  -206.0050  1734.1562     0.8701     0.1457     0.4709     0.3198    -0.8938    -0.3143     0.3751     0.4240    -0.8243
   59.3034  -205.9785  1734.2474     0.8769     0.1252     0.4640     0.2831    -0.9148    -0.2881     0.3884     0.3840    -0.8376
   59.4852  -205.9552  1734.3424     0.8842     0.1001     0.4562     0.2529    -0.9238    -0.2875     0.3926     0.3696    -0.8422
   59.6755  -205.9368  1734.4391     0.8923     0.0711     0.4458     0.2508    -0.8992    -0.3586     0.3754     0.4318    -0.8202
   59.8718  -205.9248  1734.5353     0.9007     0.0380     0.4327     0.2100    -0.9101    -0.3573     0.3803     0.4127    -0.8277
   60.0716  -205.9205  1734.6292     0.9089     0.0001     0.4171     0.1790    -0.9034    -0.3898     0.3768     0.4289    -0.8210
   60.2727  -205.9251  1734.7191     0.9162    -0.0425     0.3985     0.1324    -0.9064    -0.4011     0.3783     0.4202    -0.8248
   60.4731  -205.9394  1734.8036     0.9224    -0.0896     0.3757     0.1017    -0.8820    -0.4602     0.3726     0.4627    -0.8044
   60.6713  -205.9640  1734.8813     0.9266    -0.1406     0.3489     0.0429    -0.8821    -0.4691     0.3737     0.4496    -0.8113
   60.8662  -205.9991  1734.9515     0.9280    -0.1941     0.3181     0.0022    -0.8508    -0.5256     0.3726     0.4884    -0.7891
   61.0568  -206.0446  1735.0134     0.9260    -0.2490     0.2840    -0.0645    -0.8452    -0.5306     0.3721     0.4729    -0.7987
   61.2427  -206.1001  1735.0669     0.9209    -0.3020     0.2466    -0.0919    -0.7828    -0.6155     0.3789     0.5441    -0.7486
   61.4238  -206.1647  1735.1117     0.9127    -0.3522     0.2074    -0.1635    -0.7797    -0.6045     0.3746     0.5178    -0.7692
   61.6004  -206.2377  1735.1483     0.9024    -0.3966     0.1684    -0.1762    -0.6963    -0.6958     0.3932     0.5982    -0.6982
   61.7729  -206.3176  1735.1770     0.8916    -0.4336     0.1307    -0.2256    -0.6753    -0.7022     0.3927     0.5966    -0.6999
   61.9421  -206.4033  1735.1986     0.8815    -0.4622     0.0960    -0.2011    -0.5516    -0.8095     0.4271     0.6943    -0.5792
   62.1089  -206.4931  1735.2138     0.8740    -0.4816     0.0647    -0.1966    -0.4723    -0.8592     0.4444     0.7382    -0.5075
   62.2741  -206.5856  1735.2235     0.8694    -0.4926     0.0384    -0.1012    -0.2537    -0.9620     0.4836     0.8325    -0.2704
   62.4389  -206.6794  1735.2287     0.8687    -0.4951     0.0172     0.0605     0.0716    -0.9956     0.4916     0.8659     0.0921
   62.6041  -206.7730  1735.2303     0.8721    -0.4894     0.0002     0.2945     0.5244    -0.7990     0.3909     0.6968     0.6014
   62.7707  -206.8651  1735.2291     0.8785    -0.4777    -0.0117     0.4113     0.7685    -0.4901     0.2431     0.4257     0.8716
   62.9394  -206.9549  1735.2261     0.8873    -0.4608    -0.0194     0.4361     0.8519    -0.2900     0.1502     0.2489     0.9568
   63.1107  -207.0413  1735.2218     0.8980    -0.4393    -0.0249     0.4307     0.8893    -0.1539     0.0897     0.1275     0.9878
   63.2851  -207.1239  1735.2167     0.9088    -0.4164    -0.0276     0.4144     0.9083    -0.0573     0.0489     0.0407     0.9980
   63.4626  -207.2025  1735.2112     0.9191    -0.3930    -0.0291     0.3906     0.9183    -0.0642     0.0520     0.0476     0.9975
   63.6431  -207.2770  1735.2054     0.9286    -0.3700    -0.0300     0.3700     0.9290    -0.0049     0.0297    -0.0065     0.9995
   63.8265  -207.3477  1735.1994     0.9363    -0.3498    -0.0315     0.3419     0.9282    -0.1467     0.0805     0.1266     0.9887
   64.0122  -207.4152  1735.1929     0.9421    -0.3336    -0.0343     0.3227     0.9296    -0.1779     0.0912     0.1565     0.9835
   64.1996  -207.4802  1735.1857     0.9457    -0.3226    -0.0389     0.2251     0.7368    -0.6375     0.2343     0.5942     0.7694
   64.3880  -207.5438  1735.1773     0.9473    -0.3172    -0.0457     0.0957     0.4160    -0.9043     0.3059     0.8522     0.4245
   64.5764  -207.6068  1735.1673     0.9466    -0.3174    -0.0559    -0.1453    -0.2655    -0.9531     0.2877     0.9104    -0.2975
   64.7642  -207.6705  1735.1549     0.9432    -0.3251    -0.0689    -0.2751    -0.6475    -0.7107     0.1865     0.6893    -0.7001
   64.9503  -207.7361  1735.1398     0.9372    -0.3384    -0.0847    -0.2823    -0.5930    -0.7541     0.2049     0.7306    -0.6513
   65.1342  -207.8045  1735.1212     0.9283    -0.3570    -0.1043    -0.3392    -0.6974    -0.6313     0.1527     0.6214    -0.7685
   65.3150  -207.8768  1735.0987     0.9159    -0.3813    -0.1256    -0.3755    -0.7030    -0.6039     0.1419     0.6003    -0.7871
   65.4922  -207.9538  1735.0719     0.9003    -0.4086    -0.1497    -0.4093    -0.6783    -0.6102     0.1478     0.6106    -0.7780
   65.6656  -208.0362  1735.0403     0.8814    -0.4389    -0.1749    -0.4579    -0.7024    -0.5450     0.1163     0.5604    -0.8200
   65.8347  -208.1244  1735.0039     0.8602    -0.4690    -0.2002    -0.4889    -0.6469    -0.5852     0.1450     0.6013    -0.7858
   65.9997  -208.2184  1734.9625     0.8370    -0.4985    -0.2257    -0.5332    -0.6501    -0.5414     0.1231     0.5735    -0.8099
   66.1606  -208.3184  1734.9161     0.8131    -0.5259    -0.2496    -0.5647    -0.6087    -0.5572     0.1411     0.5940    -0.7920
   66.3178  -208.4238  1734.8650     0.7907    -0.5487    -0.2715    -0.5907    -0.5670    -0.5741     0.1611     0.6143    -0.7724
   66.4718  -208.5341  1734.8094     0.7699    -0.5679    -0.2910    -0.6182    -0.5504    -0.5612     0.1585     0.6119    -0.7749
   66.6231  -208.6486  1734.7498     0.7521    -0.5826    -0.3081    -0.6182    -0.4618    -0.6360     0.2283     0.6689    -0.7075
   66.7723  -208.7663  1734.6866     0.7388    -0.5920    -0.3222    -0.6148    -0.3961    -0.6819     0.2760     0.7019    -0.6566
   66.9202  -208.8861  1734.6205     0.7299    -0.5964    -0.3339    -0.5139    -0.1569    -0.8434     0.4507     0.7872    -0.4210
   67.0675  -209.0069  1734.5519     0.7262    -0.5959    -0.3429    -0.0613     0.4406    -0.8956     0.6848     0.6714     0.2834
   67.2150  -209.1275  1734.4816     0.7268    -0.5913    -0.3495     0.1862     0.6594    -0.7284     0.6611     0.4643     0.5893
   67.3631  -209.2469  1734.4100     0.7314    -0.5826    -0.3545     0.5282     0.8127    -0.2460     0.4315    -0.0073     0.9021
   67.5125  -209.3640  1734.3377     0.7401    -0.5699    -0.3571     0.5785     0.8102    -0.0944     0.3431    -0.1367     0.9293
   67.6636  -209.4780  1734.2652     0.7513    -0.5543    -0.3581     0.5860     0.8100    -0.0244     0.3036    -0.1915     0.9334
   67.8166  -209.5881  1734.1929     0.7646    -0.5360    -0.3578     0.5885     0.8071     0.0484     0.2628    -0.2476     0.9325
   67.9717  -209.6939  1734.1211     0.7785    -0.5166    -0.3565     0.5710     0.8187     0.0607     0.2605    -0.2508     0.9323
   68.1289  -209.7953  1734.0499     0.7923    -0.4964    -0.3548     0.5536     0.8293     0.0760     0.2565    -0.2567     0.9318
   68.2880  -209.8922  1733.9794     0.8048    -0.4771    -0.3531     0.5316     0.8440     0.0713     0.2640    -0.2451     0.9329
   68.4486  -209.9850  1733.9096     0.8159    -0.4594    -0.3511     0.5265     0.8413     0.1227     0.2390    -0.2849     0.9283
   68.6105  -210.0741  1733.8405     0.8245    -0.4447    -0.3498     0.4742     0.8804    -0.0017     0.3087    -0.1645     0.9368
   68.7729  -210.1603  1733.7718     0.8300    -0.4339    -0.3504     0.4241     0.8991    -0.1088     0.3623    -0.0583     0.9302
   68.9355  -210.2444  1733.7032     0.8329    -0.4277    -0.3513     0.3811     0.9034    -0.1965     0.4014     0.0298     0.9154
   69.0976  -210.3276  1733.6346     0.8315    -0.4279    -0.3542    -0.5255    -0.3991    -0.7514     0.1801     0.8109    -0.5567
   69.2585  -210.4110  1733.5654     0.8270    -0.4326    -0.3591    -0.5599    -0.6914    -0.4567    -0.0507     0.5787    -0.8140
   69.4177  -210.4955  1733.4955     0.8192    -0.4428    -0.3644    -0.5608    -0.7516    -0.3473    -0.1201     0.4889    -0.8640
   69.5747  -210.5824  1733.4245     0.8073    -0.4583    -0.3716    -0.5782    -0.7401    -0.3434    -0.1177     0.4921    -0.8625
   69.7290  -210.6726  1733.3521     0.7924    -0.4779    -0.3790    -0.5830    -0.7762    -0.2401    -0.1795     0.4112    -0.8937
   69.8803  -210.7670  1733.2782     0.7746    -0.5002    -0.3870    -0.6176    -0.7300    -0.2927    -0.1361     0.4657    -0.8744
   70.0284  -210.8662  1733.2024     0.7541    -0.5244    -0.3954    -0.6323    -0.7425    -0.2212    -0.1776     0.4168    -0.8915
   70.1731  -210.9707  1733.1247     0.7325    -0.5488    -0.4028    -0.6607    -0.7158    -0.2261    -0.1643     0.4317    -0.8869
   70.3146  -211.0806  1733.0450     0.7106    -0.5719    -0.4099    -0.6828    -0.7012    -0.2054    -0.1699     0.4258    -0.8887
   70.4529  -211.1958  1732.9634     0.6893    -0.5934    -0.4155    -0.6979    -0.6978    -0.1612    -0.1943     0.4011    -0.8952
   70.5884  -211.3161  1732.8800     0.6694    -0.6122    -0.4208    -0.7304    -0.6459    -0.2223    -0.1357     0.4562    -0.8795
   70.7213  -211.4409  1732.7948     0.6522    -0.6274    -0.4254    -0.7371    -0.6558    -0.1628    -0.1769     0.4198    -0.8902
   70.8522  -211.5694  1732.7081     0.6386    -0.6386    -0.4294    -0.7675    -0.5690    -0.2953    -0.0558     0.5181    -0.8535
   70.9815  -211.7006  1732.6200     0.6286    -0.6459    -0.4331    -0.7747    -0.5693    -0.2753    -0.0688     0.5086    -0.8583
   71.1097  -211.8334  1732.5309     0.6230    -0.6491    -0.4365    -0.6616    -0.1396    -0.7368     0.4173     0.7478    -0.5164
   71.2375  -211.9667  1732.4408     0.6217    -0.6476    -0.4406     0.1537     0.6524    -0.7422     0.7681     0.3937     0.5051
   71.3653  -212.0991  1732.3500     0.6246    -0.6422    -0.4443     0.5400     0.7662    -0.3484     0.5641    -0.0223     0.8254
   71.4936  -212.2295  1732.2588     0.6312    -0.6329    -0.4483     0.5450     0.7732    -0.3243     0.5519    -0.0397     0.8330
   71.6228  -212.3568  1732.1672     0.6411    -0.6193    -0.4533     0.5709     0.7795    -0.2576     0.5129    -0.0937     0.8533
   71.7533  -212.4800  1732.0753     0.6538    -0.6023    -0.4580     0.5953     0.7831    -0.1801     0.4672    -0.1549     0.8705
   71.8854  -212.5984  1731.9833     0.6687    -0.5819    -0.4629     0.5628     0.8029    -0.1964     0.4860    -0.1292     0.8644
   72.0193  -212.7113  1731.8911     0.6842    -0.5586    -0.4688     0.5261     0.8233    -0.2132     0.5051    -0.1007     0.8572
   72.1549  -212.8184  1731.7987     0.7000    -0.5342    -0.4739     0.5405     0.8301    -0.1374     0.4668    -0.1600     0.8698
   72.2925  -212.9198  1731.7061     0.7153    -0.5088    -0.4790     0.4766     0.8565    -0.1980     0.5110    -0.0867     0.8552
   72.4319  -213.0155  1731.6131     0.7292    -0.4831    -0.4847     0.4550     0.8713    -0.1838     0.5111    -0.0865     0.8551
   72.5730  -213.1059  1731.5196     0.7409    -0.4598    -0.4896     0.4238     0.8855    -0.1902     0.5210    -0.0666     0.8509
   72.7155  -213.1918  1731.4256     0.7502    -0.4395    -0.4941     0.3940     0.8971    -0.1999     0.5311    -0.0447     0.8461
   72.8594  -213.2740  1731.3309     0.7571    -0.4226    -0.4982     0.3450     0.9062    -0.2444     0.5547     0.0132     0.8319
   73.0043  -213.3534  1731.2355     0.7613    -0.4106    -0.5018     0.2746     0.9053    -0.3242     0.5874     0.1091     0.8019
   73.1500  -213.4311  1731.1393     0.7632    -0.4032    -0.5050     0.1485     0.8700    -0.4702     0.6289     0.2839     0.7238
   73.2964  -213.5081  1731.0422     0.7629    -0.4008    -0.5073    -0.6444    -0.4086    -0.6463     0.0518     0.8200    -0.5701
   73.4431  -213.5855  1730.9444     0.7606    -0.4037    -0.5084    -0.5324    -0.8361    -0.1325    -0.3716     0.3715    -0.8508
   73.5901  -213.6643  1730.8459     0.7571    -0.4105    -0.5083    -0.4142    -0.9032     0.1126    -0.5053     0.1253    -0.8538
   73.7373  -213.7453  1730.7469     0.7523    -0.4207    -0.5069    -0.4207    -0.8990     0.1218    -0.5070     0.1217    -0.8533
   73.8845  -213.8291  1730.6476     0.7472    -0.4331    -0.5041    -0.3301    -0.9002     0.2840    -0.5768    -0.0458    -0.8156
   74.0318  -213.9161  1730.5483     0.7419    -0.4469    -0.4998    -0.3519    -0.8941     0.2771    -0.5707    -0.0297    -0.8206
   74.1792  -214.0066  1730.4492     0.7373    -0.4607    -0.4941    -0.2296    -0.8587     0.4581    -0.6353    -0.2243    -0.7389
   74.3269  -214.1004  1730.3507     0.7339    -0.4735    -0.4870    -0.2219    -0.8448     0.4869    -0.6420    -0.2493    -0.7251
   74.4749  -214.1972  1730.2531     0.7320    -0.4843    -0.4792    -0.0470    -0.7376     0.6737    -0.6797    -0.4706    -0.5626
   74.6235  -214.2964  1730.1567     0.7322    -0.4927    -0.4701     0.0905    -0.6138     0.7843    -0.6750    -0.6168    -0.4048
   74.7729  -214.3974  1730.0619     0.7348    -0.4978    -0.4607     0.4004    -0.2299     0.8871    -0.5475    -0.8363     0.0304
   74.9233  -214.4991  1729.9688     0.7397    -0.4985    -0.4520     0.5594     0.0823     0.8248    -0.3740    -0.8629     0.3398
   75.0748  -214.6005  1729.8776     0.7474    -0.4957    -0.4425     0.6329     0.3285     0.7011    -0.2022    -0.8040     0.5592
   75.2278  -214.7006  1729.7886     0.7577    -0.4879    -0.4333     0.6511     0.6103     0.4512     0.0443    -0.6240     0.7801
   75.3823  -214.7981  1729.7017     0.7700    -0.4752    -0.4258     0.6228     0.7050     0.3394     0.1389    -0.5265     0.8387
   75.5385  -214.8920  1729.6168     0.7841    -0.4581    -0.4187     0.5918     0.7550     0.2824     0.1867    -0.4692     0.8631
   75.6965  -214.9814  1729.5339     0.7992    -0.4372    -0.4124     0.5457     0.8154     0.1930     0.2519    -0.3793     0.8903
   75.8563  -215.0656  1729.4527     0.8147    -0.4121    -0.4078     0.4950     0.8607     0.1192     0.3019    -0.2990     0.9052
   76.0180  -215.1439  1729.3728     0.8296    -0.3841    -0.4052     0.4373     0.8982     0.0438     0.3472    -0.2136     0.9132
   76.1813  -215.2161  1729.2938     0.8430    -0.3551    -0.4040     0.4015     0.9153     0.0332     0.3580    -0.1902     0.9142
   76.3463  -215.2822  1729.2153     0.8548    -0.3252    -0.4044     0.3295     0.9422    -0.0610     0.4009    -0.0812     0.9125
   76.5126  -215.3423  1729.1368     0.8638    -0.2965    -0.4074     0.2634     0.9550    -0.1366     0.4295     0.0107     0.9030
   76.6801  -215.3971  1729.0576     0.8693    -0.2714    -0.4130     0.1488     0.9407    -0.3049     0.4713     0.2036     0.8582
