Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
   14.8576  -200.1630  1751.2599    -0.3740    -0.8006     0.4682     0.3617    -0.5908    -0.7212     0.8540    -0.1004     0.5105
   14.6262  -200.6791  1751.5451    -0.3559    -0.8295     0.4304     0.3500    -0.5453    -0.7617     0.8665    -0.1205     0.4844
   14.3941  -201.2494  1751.8180    -0.3323    -0.8643     0.3776     0.3522    -0.4852    -0.8004     0.8749    -0.1330     0.4656
   14.1493  -201.9367  1752.0809    -0.2968    -0.9081     0.2953     0.3609    -0.3929    -0.8458     0.8841    -0.1445     0.4444
   13.9278  -202.6935  1752.2736    -0.2457    -0.9540     0.1716     0.3646    -0.2550    -0.8956     0.8982    -0.1575     0.4105
   13.7556  -203.4762  1752.3468    -0.1788    -0.9839     0.0017     0.3605    -0.0671    -0.9304     0.9155    -0.1658     0.3667
   13.6438  -204.2507  1752.2708    -0.1049    -0.9746    -0.1978     0.3327     0.1530    -0.9305     0.9372    -0.1634     0.3083
   13.5872  -204.9955  1752.0398    -0.0442    -0.9215    -0.3859     0.2478     0.3641    -0.8978     0.9678    -0.1353     0.2122
   13.5659  -205.7033  1751.6709    -0.0156    -0.8501    -0.5264     0.0709     0.5242    -0.8486     0.9974    -0.0505     0.0521
   13.5518  -206.3781  1751.1990    -0.0249    -0.7925    -0.6094    -0.3766     0.5721    -0.7286     0.9260     0.2113    -0.3127
   13.5146  -207.0323  1750.6682    -0.0680    -0.7640    -0.6416    -0.9651     0.2133    -0.1518     0.2529     0.6089    -0.7519
   13.4295  -207.6814  1750.1226    -0.1346    -0.7627    -0.6325    -0.9325    -0.1184     0.3412    -0.3351     0.6358    -0.6953
   13.2817  -208.3392  1749.5971    -0.2115    -0.7774    -0.5923    -0.8098    -0.2000     0.5516    -0.5473     0.5963    -0.5872
   13.0685  -209.0141  1749.1126    -0.2833    -0.7952    -0.5361    -0.7298    -0.1839     0.6584    -0.6222     0.5778    -0.5283
   12.7982  -209.7069  1748.6732    -0.3392    -0.8070    -0.4834    -0.7075    -0.1198     0.6965    -0.6200     0.5782    -0.5303
   12.4858  -210.4105  1748.2688    -0.3761    -0.8092    -0.4513    -0.8360     0.0863     0.5420    -0.3996     0.5811    -0.7090
   12.1483  -211.1114  1747.8794    -0.3978    -0.8000    -0.4492    -0.6024     0.5970    -0.5298     0.6920     0.0599    -0.7194
