Centerline IDX,Volume,Distance,Filter radius
16,9.55470533820413,15,3
17,9.588730953783323,15,3
18,9.670265014583334,15,3
19,9.83201163928945,15,3
20,10.122344142284296,15,3
21,10.296566746176364,15,3
22,10.636691342209696,15,3
23,10.573138212878483,15,3
24,10.931005317215341,15,3
25,11.079017782914576,15,3
26,11.329411695552523,15,3
27,11.60266300807099,15,3
28,12.098949358896373,15,3
29,12.228280318834777,15,3
30,12.44283944482396,15,3
31,12.72686056245737,15,3
32,13.020708051291615,15,3
33,13.149181887609055,15,3
34,13.368797557423466,15,3
35,13.48383344240538,15,3
36,13.676250150447256,15,3
37,13.88396443457799,15,3
38,14.053856534280524,15,3
39,14.202464809538498,15,3
40,14.154990387136394,15,3
41,14.422871808642244,15,3
42,14.159432091912945,15,3
43,14.36657124504788,15,3
44,14.490305099821612,15,3
45,14.419668708159858,15,3
46,14.249334036215025,15,3
47,14.277159920144246,15,3
48,14.277966665419907,15,3
49,14.271751118113617,15,3
50,14.539870468160375,15,3
51,14.74369315069142,15,3
52,14.579455988746613,15,3
53,15.069786625835976,15,3
54,15.247240167314722,15,3
55,14.951554955100349,15,3
56,15.524912184766553,15,3
57,15.600239090659127,15,3
58,15.50253635193179,15,3
59,15.664383210060459,15,3
60,15.498686160464999,15,3
61,15.434559406289544,15,3
62,15.441306390028222,15,3
63,15.320425324270417,15,3
64,15.233034435593027,15,3
65,15.158771102533109,15,3
66,15.03952396158757,15,3
67,14.539861024952966,15,3
68,14.628696190249727,15,3
69,14.2126279075843,15,3
70,13.36089883613116,15,3
71,13.49470073488264,15,3
72,12.970608508535639,15,3
73,13.014447788940334,15,3
74,12.54337182876236,15,3
75,12.319501025741562,15,3
76,12.127493464313767,15,3
77,12.205787308254429,15,3
78,11.77425498518188,15,3
79,11.905108451990337,15,3
80,11.991033737932995,15,3
81,11.407373109392402,15,3
82,11.936098438491616,15,3
83,11.692510316244213,15,3
84,12.100665576734041,15,3
85,12.065426250202718,15,3
86,12.554509003463394,15,3
87,12.610161329699551,15,3
88,12.926352008036542,15,3
89,13.098657120459826,15,3
90,13.418089681281288,15,3
91,13.621004008777103,15,3
92,13.71421223404386,15,3
93,13.833275870767094,15,3
94,14.173687360974888,15,3
95,13.830609390041433,15,3
96,14.146305795000876,15,3
97,13.947033983501644,15,3
98,13.988608141554593,15,3
99,13.92240371124813,15,3
100,13.818303378625238,15,3
101,13.713505353763733,15,3
102,13.609117442925726,15,3
103,13.25029670398538,15,3
104,12.81047494669327,15,3
105,12.749608493019545,15,3
106,12.178922048999333,15,3
107,12.290824140413058,15,3
108,12.014339682369723,15,3
109,11.804778747570637,15,3
110,11.706375686778916,15,3
111,11.742373499665714,15,3
112,11.745353128389564,15,3
113,11.396197474319214,15,3
114,11.17378852911024,15,3
115,11.27352960233939,15,3
116,11.35817784767138,15,3
117,11.357167689390414,15,3
118,11.257379081819325,15,3
119,11.032452663072547,15,3
120,11.152561091335947,15,3
121,11.46750500819753,15,3
122,11.320892772873115,15,3
123,11.25309731796714,15,3
124,11.292139204339648,15,3
125,11.410888808813542,15,3
126,11.442549007484864,15,3
127,11.625411076104061,15,3
128,11.89465398460171,15,3
129,11.980679342199657,15,3
130,12.512581203634292,15,3
131,12.689234732839775,15,3
132,13.335386549439612,15,3
133,13.74335610799727,15,3
134,14.024782321959822,15,3
135,14.292963649783527,15,3
136,14.483400514612626,15,3
