Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (26.9037, -201.4906, 1864.2808) connects to:
    Branch Segment 2
    Branch Segment 5

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz       Dfit       Dmin       Dmax          C         Dh         Xh        Scf       Area          E
   18.1390  -208.6233  1858.6885     0.2312     0.9719    -0.0440    -0.1365     0.0772     0.9876     0.9633    -0.2224     0.1505    11.2274     6.2271    19.4753        n/a     8.5392     0.4385    39.2969    83.8912     0.9172
   18.1755  -208.4694  1858.6822     0.2299     0.9726    -0.0356    -0.1903     0.0808     0.9784     0.9544    -0.2181     0.2037    11.2357     6.2798    19.4532     0.0534     8.5570     0.4399    39.3159    84.1067     0.9166
   18.2135  -208.3079  1858.6770     0.2279     0.9733    -0.0271    -0.2417     0.0835     0.9667     0.9432    -0.2138     0.2543    11.2467     6.3327    19.4315     0.0529     8.5778     0.4414    39.3381    84.3590     0.9159
   18.2480  -208.1600  1858.6735     0.2264     0.9738    -0.0189    -0.1479     0.0536     0.9875     0.9627    -0.2208     0.1562    11.2561     6.3785    19.4135     0.0568     8.5992     0.4430    39.3528    84.6011     0.9153
   18.2740  -208.0478  1858.6717     0.2248     0.9743    -0.0123    -0.3339     0.0889     0.9384     0.9154    -0.2068     0.3453    11.2604     6.4116    19.4235     0.0615     8.5983     0.4427    39.4196    84.7356     0.9149
   18.3020  -207.9258  1858.6706     0.2228     0.9748    -0.0053    -0.1760     0.0456     0.9833     0.9588    -0.2182     0.1817    11.2640     6.4468    19.4364     0.0551     8.5936     0.4421    39.5157    84.8958     0.9144
   18.3319  -207.7945  1858.6704     0.2211     0.9753     0.0025    -0.2618     0.0568     0.9634     0.9395    -0.2136     0.2679    11.2688     6.4826    19.4513     0.0653     8.5869     0.4415    39.6182    85.0498     0.9139
   18.3635  -207.6543  1858.6714     0.2187     0.9757     0.0112    -0.2542     0.0459     0.9661     0.9421    -0.2142     0.2580    11.2762     6.5177    19.4695     0.0596     8.5756     0.4405    39.7480    85.2158     0.9133
   18.3967  -207.5055  1858.6738     0.2169     0.9760     0.0204    -0.1369     0.0097     0.9905     0.9665    -0.2176     0.1358    11.2878     6.5482    19.4901     0.0634     8.5802     0.4402    39.8257    85.4279     0.9126
   18.4314  -207.3488  1858.6779     0.2153     0.9761     0.0308    -0.1762     0.0078     0.9843     0.9605    -0.2173     0.1736    11.3035     6.5771    19.5136     0.0677     8.5906     0.4402    39.8891    85.6675     0.9120
   18.4674  -207.1846  1858.6840     0.2125     0.9763     0.0416    -0.3203     0.0294     0.9468     0.9232    -0.2145     0.3190    11.3211     6.5996    19.5418     0.0654     8.5993     0.4400    39.9645    85.9165     0.9113
   18.5044  -207.0134  1858.6923     0.2099     0.9763     0.0534    -0.1231    -0.0278     0.9920     0.9699    -0.2148     0.1144    11.3428     6.6082    19.5741     0.0732     8.6148     0.4401    40.0360    86.2250     0.9104
   18.5424  -206.8358  1858.7032     0.2076     0.9760     0.0663    -0.2200    -0.0195     0.9753     0.9532    -0.2171     0.2106    11.3650     6.6298    19.5241     0.0712     8.6467     0.4429    40.0627    86.6030     0.9093
   18.5812  -206.6522  1858.7169     0.2049     0.9756     0.0792    -0.1995    -0.0376     0.9792     0.9582    -0.2164     0.1869    11.3892     6.6748    19.4583     0.0693     8.6809     0.4461    40.1005    87.0276     0.9079
   18.6206  -206.4634  1858.7336     0.2022     0.9748     0.0938    -0.1630    -0.0609     0.9847     0.9657    -0.2144     0.1466    11.4179     6.7159    19.3954     0.0835     8.7151     0.4493    40.1650    87.5102     0.9063
   18.6605  -206.2698  1858.7538     0.1994     0.9738     0.1093    -0.1972    -0.0694     0.9779     0.9599    -0.2165     0.1782    11.4401     6.7528    19.3287     0.0755     8.7508     0.4527    40.2308    88.0126     0.9044
   18.7007  -206.0721  1858.7776     0.1964     0.9725     0.1254    -0.1612    -0.0942     0.9824     0.9672    -0.2132     0.1382    11.4495     6.7860    19.2600     0.0869     8.7950     0.4566    40.2411    88.4798     0.9017
   18.7411  -205.8707  1858.8054     0.1933     0.9707     0.1426    -0.1999    -0.1033     0.9743     0.9606    -0.2168     0.1741    11.4608     6.8181    19.1942     0.0824     8.8397     0.4605    40.2711    88.9961     0.8985
